date,time,abbreviation_canton_and_fl,ncumul_tested,ncumul_conf,ncumul_hosp,ncumul_ICU,ncumul_vent,ncumul_released,ncumul_deceased,source
2020-03-12,"",UR,"",2,"","","","","",""
2020-03-18,"",UR,85,5,"","","","","",https://www.ur.ch/mmdirektionen/63802
2020-03-19,"",UR,"",7,"","","","","",https://www.ur.ch/mmdirektionen/63841
2020-03-20,12:00,UR,"",7,"","","","","",https://www.ur.ch/themen/2920
2020-03-21,08:00,UR,"",12,"","","","","",https://www.ur.ch/themen/2920
2020-03-23,"",UR,"",22,1,"","",1,"",https://www.ur.ch/themen/2920
2020-03-24,12:00,UR,"",25,1,"","",1,"",https://www.ur.ch/themen/2920
2020-03-26,"",UR,"",38,4,"","",2,"",https://www.ur.ch/themen/2920
2020-03-27,12:00,UR,"",40,"","","","",0,https://www.ur.ch/themen/2920
2020-04-01,12:00,UR,"",59,"","","","",0,https://www.ur.ch/themen/2920
2020-04-02,08:00,UR,"",59,"","","","",1,https://www.ur.ch/themen/2920
2020-04-03,14:00,UR,"",62,"","","","",1,https://www.ur.ch/themen/2920
2020-04-04,17:00,UR,"",66,"","","","",1,https://www.ur.ch/themen/2920
2020-04-05,17:00,UR,"",67,"","","","",2,https://www.ur.ch/themen/2920
2020-04-06,14:00,UR,"",67,"","","","",2,https://www.ur.ch/themen/2920
2020-04-07,14:00,UR,"",68,"","","","",2,https://www.ur.ch/themen/2920
2020-04-08,14:00,UR,"",72,"","","","",4,https://www.ur.ch/themen/2920
2020-04-09,14:00,UR,"",72,"","","","",4,https://www.ur.ch/themen/2920
2020-04-10,16:00,UR,"",74,"","","","",4,https://www.ur.ch/themen/2920
2020-04-11,16:00,UR,"",75,"","","","",4,https://www.ur.ch/themen/2920
2020-04-12,15:00,UR,"",77,"","","","",4,https://www.ur.ch/themen/2920
2020-04-13,14:00,UR,"",78,"","","","",4,https://www.ur.ch/themen/2920
2020-04-14,14:00,UR,"",78,"","","","",4,https://www.ur.ch/themen/2920
2020-04-15,16:00,UR,"",78,"","","","",4,https://www.ur.ch/themen/2920
2020-04-16,15:00,UR,"",78,"","","","",5,https://www.ur.ch/themen/2920
2020-04-17,14:00,UR,"",78,"","","","",5,https://www.ur.ch/themen/2920
2020-04-18,15:00,UR,"",78,"","","","",5,https://www.ur.ch/themen/2920
2020-04-19,13:00,UR,"",78,"","","","",5,https://www.ur.ch/themen/2920
2020-04-20,14:00,UR,"",78,"","","","",5,https://www.ur.ch/themen/2920
2020-04-21,17:00,UR,"",78,"","","","",5,https://www.ur.ch/themen/2920
2020-04-22,15:00,UR,"",78,"","","","",5,https://www.ur.ch/themen/2920
2020-04-23,15:00,UR,"",78,"","","","",5,https://www.ur.ch/themen/2920
2020-04-24,14:00,UR,"",78,"","","","",5,https://www.ur.ch/themen/2920
2020-04-25,12:00,UR,"",78,"","","","",5,https://www.ur.ch/themen/2920
2020-04-26,12:00,UR,"",80,"","","","",5,https://www.ur.ch/themen/2920
2020-04-27,14:00,UR,"",83,"","","","",5,https://www.ur.ch/themen/2920
